%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1732085366528791583,4831,1732085366528320550,map,9.185342282441118,-3.7079291892209967,0.8509583754380459,0.0,0.0,0.0,1.0
1732085366628475329,4832,1732085366628226518,map,9.149198802221942,-3.7541015228058816,0.8904917430137103,0.0,0.0,0.0,1.0
1732085366728824593,4833,1732085366728219509,map,9.111359558871934,-3.8106138180158955,0.9648321894452114,0.0,0.0,0.0,1.0
1732085366829246730,4834,1732085366828726291,map,9.077595873553873,-3.8425339975539163,0.9855226858705673,0.0,0.0,0.0,1.0
1732085366929588946,4835,1732085366929016351,map,9.08072410122714,-3.8209204442951363,0.9943050845702173,0.0,0.0,0.0,1.0
1732085367028947894,4836,1732085367028781890,map,9.076714126152247,-3.8010750907954387,0.9988464400881136,0.0,0.0,0.0,1.0
1732085367128597528,4837,1732085367128508090,map,9.069201840240842,-3.7962852572231336,1.0719294183484671,0.0,0.0,0.0,1.0
1732085367229789463,4838,1732085367229190826,map,9.046721846243631,-3.8045706130743646,1.11647326214345,0.0,0.0,0.0,1.0
1732085367328291695,4839,1732085367327991485,map,9.065647551611208,-3.723839953962879,1.1225218440063705,0.0,0.0,0.0,1.0
1732085367428223074,4840,1732085367428144216,map,9.084298837162676,-3.6286571673179666,1.0679834726471855,0.0,0.0,0.0,1.0
1732085367528372479,4841,1732085367527814626,map,9.116802621461085,-3.4938490304233585,1.0485551978543801,0.0,0.0,0.0,1.0
1732085367628105530,4842,1732085367627599000,map,9.11294746396728,-3.430512758384337,1.0237243182154976,0.0,0.0,0.0,1.0
1732085367728093663,4843,1732085367727638959,map,9.115532286472016,-3.352704397049802,1.0533930296133256,0.0,0.0,0.0,1.0
1732085367828487099,4844,1732085367828034639,map,9.126207903327126,-3.26683534206548,1.0839753634901017,0.0,0.0,0.0,1.0
1732085367927962840,4845,1732085367927640438,map,9.15935758139547,-3.146914774523753,1.1722364225435478,0.0,0.0,0.0,1.0
1732085368028214895,4846,1732085368027732849,map,9.19315986737481,-3.0272332760479754,1.2562385338899047,0.0,0.0,0.0,1.0
1732085368128852495,4847,1732085368128321647,map,9.209783776518513,-2.943455143289311,1.347356618102937,0.0,0.0,0.0,1.0
1732085368228802687,4848,1732085368228524446,map,9.203034249464183,-2.914735167342875,1.4288316737699043,0.0,0.0,0.0,1.0
1732085368328121495,4849,1732085368327718734,map,9.174344849722267,-2.9447433317679277,1.5089348418485318,0.0,0.0,0.0,1.0
1732085368428010581,4850,1732085368427428960,map,9.141677012958992,-2.9846165753162923,1.559906018833222,0.0,0.0,0.0,1.0
1732085368528812307,4851,1732085368528174400,map,9.141476396466897,-2.9359004715937664,1.6192830125457782,0.0,0.0,0.0,1.0
1732085368628091529,4852,1732085368627582311,map,9.170198272931492,-2.804603663498773,1.642199057251577,0.0,0.0,0.0,1.0
1732085368729453926,4853,1732085368728911399,map,9.203226127346827,-2.6578331325859135,1.6642640450905912,0.0,0.0,0.0,1.0
1732085368829608999,4854,1732085368828963041,map,9.213977023275854,-2.5647406354121864,1.619500884772256,0.0,0.0,0.0,1.0
1732085368928097416,4855,1732085368927570104,map,9.220584017476241,-2.475808084599557,1.5911346904773296,0.0,0.0,0.0,1.0
1732085369028227769,4856,1732085369027747869,map,9.247471581215658,-2.327393673315263,1.4864307402042594,0.0,0.0,0.0,1.0
1732085369129118429,4857,1732085369128461599,map,9.241899694082166,-2.2546422680029377,1.43524699418877,0.0,0.0,0.0,1.0
1732085369228622363,4858,1732085369228047132,map,9.229234639856433,-2.2209312284846527,1.3705917729688637,0.0,0.0,0.0,1.0
